kljuc_igre,kljuc_izdajatelja,izdajatelj
91500,5552317,New World Interactive
124822,5552476,Merge Games
23127,5552492,Nubee Tokyo
124745,5552496,Gungho Online Entertainment
117541,5552512,Expansive Worlds
30509,5552515,Red Mile Entertainment
72868,5552577,ACE
87177,5552608,Idea Factory International
24231,5552610,Digital Confectioners
12845,5552613,Koei Tecmo
40443,5552687,WizardWorks Software
8049,5552765,Frozen Sand
16294,5552788,Digital Extremes
8107,5552815,Daybreak Game Company
21700,5552872,Sekai Project
73995,5552911,Alice Soft
26815,5552959,Tantrum Entertainment
4435,5552988,Strata
830,5553018,Atlus USA
14429,5553036,Playlogic Entertainment
12478,5553119,Wanadoo Edition
875,5553276,GSC Game World
6601,5553280,Virgin PLAY
30607,5553291,PQube
11553,5553331,koch Media
8103,5553345,Signo & Arte
3753,5553371,Infogrames Europe
5150,5553412,Activision Publishing
31870,5553413,Critical Force Entertainment
1048,5553472,Titus Interactive
913,5553516,CD Projekt Red
12478,5553529,Cryo Interactive Entertainment
574,5553532,BMG Interactive Entertainment
117898,5553635,MidBoss
33933,5553644,Offworld industries
34325,5553701,Lockwood Publishing
11918,5553733,Feral Interactive
10414,5553787,Bandai Namco Entertainment
68005,5553815,Entertainment Software Publishing
856,5553850,THQ Nordic
8914,5553933,Running With Scissors
59025,5553968,Question
17769,5553974,Crate Entertainment
61708,5554003,Gearbox Publishing
16727,5554056,CD Projekt
3943,5554237,Ubi Soft Entertainment Software
9264,5554269,AKA Acclaim
117896,5554272,HypeTrain Digital
3953,5554333,Nightdive Studios
113176,5554557,Those Awesome Guys
72891,5554593,Phosphor Games
73100,5554672,THE BROTHERHOOD
790,5554686,AQ Interactive
122582,5554762,CIRCLE Entertainment
10343,5555016,Four Leaf Studios
104432,5555039,Vision Games
118485,5555226,Blue Wizard Digital
78632,5555288,Badfly Interactive
117541,5555388,Avalanche Studios
80222,5555508,Feardemic
22294,5555577,The Astronauts
124791,5555759,Sony Interactive Entertainment
17903,5555877,Empire Interactive Entertainment
101756,5556341,Inscape
79071,5556375,Wales Interactive
567,5556383,Square Electronic Arts
70,5556808,Funcom Oslo
5173,5557068,NDA Productions
90111,5557185,Turmoil Games
10481,5557321,Parsec Productions
6601,5557389,Secret Stash Games
3669,5557401,Missing Link Games
32580,5557449,Sold Out
23030,5557461,Infinitap Games
5276,5557488,Good Shepherd Entertainment
113105,5557597,Ska Studios
112935,5557622,Akupara Games
13432,5557934,Frogwares
7656,5557938,Night Dive Studios
93917,5558010,VCA Interactive
114761,5558162,Russobit-M
97779,5558584,Balcony Team
8146,5558849,Kadokawa Games
12478,5558893,Canal+Multimédia
9573,5559092,Paul Schneider
79350,5559371,Digital Reality
12474,5559574,index+
109852,5559712,Toadman Interactive
12306,5559716,Aruze
78136,5559719,Skybound Games
14906,5559720,Spike Games
106195,5559856,RYM GAMES
117825,5559858,Tales Translations
119171,55510110,Winged Cloud
8125,55510323,DiezelPower
12705,55510363,Crowbar Collective
110153,55510368,D'Avekki Studios Ltd
9243,55510389,Softbank
85985,55510542,Marvelous USA
12760,55510662,HandyGames
95490,55510688,SureAI
118973,55510995,Illusion
9696,55511000,Bitbox S.L.
115348,55511062,Neko Climax Studios
11185,55511150,Xbox Game Studios
118169,55511720,Comedy Central Games
812,55511873,Techland Publishing
119355,55511958,Studio Gamaii
22884,55513653,Snowball Studios
124847,55513769,Tendogames
13897,55514279,Mr. Game
116017,55514505,Humble Games
2117,55514870,THQ Nordic GmbH
100802,55514998,Ziggurat Interactive
13521,55515023,Nacon
6907,55515173,Namco Hometek
8158,55515176,Climax Group
16612,55515240,WZOGI
94803,55515765,Noviy Disk
11369,55516707,UEP Systems
34457,55517199,None
12478,55517304,France Télécom Multimédia
187,55517370,Konami of America
2160,55517408,Apogee Entertainment
1062,55517451,GT Interactive Software Europe
17038,55517831,Ziggurat
17468,55518167,Aksys Games Localization
8704,55518256,38 Studios
2295,55518329,Sold Out Sales & Marketing
15774,55518794,Lexis Numérique
13191,55518942,Valiant Entertainment
3406,55519026,Sega Enterprises
807,55519304,Prime Matter
13969,55519333,Aspyre Media
6907,55519430,Namco Europe
10573,55519591,WizardWorks Group
13897,55519756,Crazy Games
115178,55519944,Focus Entertainment
4190,55520327,Marvelous Interactive
33405,55520415,caiys
14053,55521103,SNEG
2297,55521105,Acclaim Japan
12246,55521215,CE Europe
3118,55521225,Playtronic Industrial
8728,55521230,Atari Interactive
4510,55521273,Konami of Europe
3741,55521284,Virgin Interactive Entertainment (Europe)
5163,55521294,Take-Two Interactive Software
3753,55521297,Novitas
44102,55521408,Fujicom
24097,55521428,Bandai Namco Games America
8526,55521439,Index Digital Media
6304,55521488,D3Publisher of America
32,55521500,Ak Tronic Software & Services
8804,55521560,K.E. Media
2297,55521566,Tec Toy Indústria de Brinquedos
895,55521570,SEGA Europe
850,55521586,Namco Bandai Games Europe
2603,55521587,Feral Interactive (Mac)
2603,55521588,Feral Interactive (Linux)
8259,55521589,
3647,55521592,Eidos Interactive Corp.
8083,55521593,Fulqrum Publishing
108,55521599,Feral Interactive (Mac/Linux)
68288,55521820,Spike Chunsoft Co.
72754,55521887,Frontwing USA
73487,55521945,Behaviour Interactive Inc.
105425,55522346,The Imaginarium
7611,55522416,Rockstar New England
914,55522423,HanbitSoft Inc.
76968,55522451,Milan Toth
118382,55522488,Bloober Team NA
3693,55522679,Tecmo Koei America
16229,55522775,KaiPrime
5033,55522899,Touchstone Interactive
90687,55522914,League of Sweat
40751,55523302,Dreadlocks
8115,55523304,Dark Energy Digital
858,55523311,Bungie Software Products
11513,55523318,ZeniMax Europe
3693,55523327,Tecmo Koei Europe
8732,55523345,Playlogic International
3587,55523366,3D Realms Entertainment
5286,55523419,Acer TWP
13969,55524079,Lexicon Entertainment UK
43912,55524118,PlayStation PC
4585,55524224,Art Data Interactive
7611,55524251,Rockstar San Diego
7611,55524253,Rockstar Leeds
7611,55524254,Rockstar Games Toronto
8732,55524255,Ignition Entertainment U.S.A.
5304,55524362,Swing! Entertainment Media
33408,55524946,Spilt Milk Studios
12001,55525026,Koch Media
2481,55525153,Phantom EFX
4036,55526046,TEST PUBLISHER
4978,55526140,Io-Interactive
12632,55526141,Trilobyte Games
118188,55526725,Alawar
12169,55531704,Sony Computer Entertainment Asia
13897,55532153,AIA USA
13897,55532154,K&W Entertainment
