kljuc_igre,zanr
79071,Action
10507,Action
79350,Action
11217,Action
16483,Action
11262,Action
10521,Action
79407,Action
11218,Action
8158,Action
12072,Action
16544,Action
29124,Action
12007,Action
85985,Action
11260,Action
11515,Action
86261,Action
29289,Action
11305,Action
12288,Action
11519,Action
12705,Action
618,Action
16294,Action
11991,Action
30033,Action
11671,Action
11525,Action
30509,Action
11675,Action
8816,Action
12207,Action
17053,Action
11882,Action
11533,Action
12972,Action
31122,Action
8951,Action
735,Action
17094,Action
12115,Action
31520,Action
11905,Action
13140,Action
32083,Action
11943,Action
16695,Action
12766,Action
17105,Action
12148,Action
32181,Action
12866,Action
17127,Action
17253,Action
17180,Action
34003,Action
11954,Action
12909,Action
11215,Action
17303,Action
13123,Action
11953,Action
12432,Action
41598,Action
11990,Action
11306,Action
17581,Action
13380,Action
13479,Action
42519,Action
908,Action
17612,Action
13478,Action
45267,Action
12029,Action
13191,Action
11383,Action
11891,Action
45669,Action
12001,Action
10424,Action
18789,Action
13542,Action
17562,Action
12773,Action
13762,Action
11532,Action
18790,Action
13789,Action
11916,Action
56291,Action
10454,Action
983,Action
12810,Action
64872,Action
23127,Action
11566,Action
11934,Action
13989,Action
12027,Action
14897,Action
14125,Action
12062,Action
15633,Action
71456,Action
12155,Action
23328,Action
11661,Action
12169,Action
14574,Action
10583,Action
15634,Action
18325,Action
72853,Action
20788,Action
14701,Action
72868,Action
1802,Action
18474,Action
13495,Action
73487,Action
23648,Action
21641,Action
14817,Action
73689,Action
12371,Action
2120,Action
21642,Action
23653,Action
15010,Action
11082,Action
12338,Action
22009,Action
12836,Action
22294,Action
11928,Action
22645,Action
15070,Action
12453,Action
12946,Action
11534,Action
3607,Action
16118,Action
32096,Action
100802,Action
26815,Action
11977,Action
3724,Action
112431,Action
16194,Action
103888,Action
12874,Action
112524,Action
13498,Action
16283,Action
14053,Action
12899,Action
11836,Action
4186,Action
16484,Action
106195,Action
12069,Action
15621,Action
16262,Action
4201,Action
115391,Action
109852,Action
27499,Action
115572,Action
16271,Action
16650,Action
23,Action
13652,Action
27575,Action
12103,Action
115639,Action
15819,Action
12019,Action
4536,Action
116017,Action
16777,Action
112935,Action
117764,Action
15862,Action
113105,Action
16910,Action
13963,Action
31650,Action
16507,Action
17020,Action
117962,Action
12468,Action
17038,Action
117541,Action
12178,Action
4986,Action
17080,Action
41813,Action
14553,Action
118000,Action
12520,Action
118989,Action
17260,Action
408,Action
12337,Action
15814,Action
119300,Action
17272,Action
16374,Action
13423,Action
119119,Action
15879,Action
17579,Action
33032,Action
15996,Action
12672,Action
5255,Action
123730,Action
17595,Action
121258,Action
15566,Action
12811,Action
13591,Action
17594,Action
122172,Action
14764,Action
124242,Action
15781,Action
33265,Action
124847,Action
13665,Action
17788,Action
765,Action
124745,Action
33405,Action
6738,Action
78335,Action
14974,Action
13239,Action
14687,Action
18320,Action
80547,Action
14739,Action
84802,Action
16310,Action
33933,Action
13312,Action
7321,Action
18501,Action
15238,Action
19234,Action
15071,Action
34140,Action
15373,Action
7465,Action
14117,Action
16775,Action
13521,Action
76968,Action
88913,Action
16342,Action
15782,Action
7700,Action
18961,Action
89822,Action
16343,Action
19593,Action
90065,Action
41103,Action
19071,Action
13674,Action
46101,Action
13791,Action
7847,Action
19307,Action
19976,Action
13857,Action
14566,Action
19448,Action
13800,Action
16728,Action
93659,Action
16729,Action
91500,Action
13932,Action
31,Adventure
10,Adventure
14,Adventure
187,Adventure
1,Adventure
182,Adventure
875,Adventure
42,Adventure
86,Adventure
11,Adventure
528,Adventure
4843,Adventure
69,Adventure
41,Adventure
83,Adventure
26,Adventure
5655,Adventure
616,Adventure
300,Adventure
85,Adventure
626,Adventure
294,Adventure
93,Adventure
5779,Adventure
98,Adventure
819,Adventure
494,Adventure
536,Adventure
758,Adventure
910,Adventure
2286,Adventure
235,Adventure
838,Adventure
291,Adventure
835,Adventure
3133,Adventure
871,Adventure
3470,Adventure
301,Adventure
3692,Adventure
784,Adventure
2189,Adventure
843,Adventure
3706,Adventure
3479,Adventure
6333,Adventure
3327,Adventure
472,Adventure
6357,Adventure
792,Adventure
3477,Adventure
3731,Adventure
6315,Adventure
3752,Adventure
3645,Adventure
1707,Adventure
848,Adventure
3647,Adventure
4586,Adventure
2157,Adventure
772,Adventure
856,Adventure
6993,Adventure
4601,Adventure
7161,Adventure
2489,Adventure
3426,Adventure
2284,Adventure
5132,Adventure
906,Adventure
5572,Adventure
3473,Adventure
5184,Adventure
2609,Adventure
7386,Adventure
3609,Adventure
5582,Adventure
6308,Adventure
2415,Adventure
5650,Adventure
7611,Adventure
6901,Adventure
3975,Adventure
6295,Adventure
6908,Adventure
3993,Adventure
7869,Adventure
4843,Adventure
7333,Adventure
2117,Adventure
7995,Adventure
5091,Adventure
2603,Adventure
5131,Adventure
7071,Adventure
4553,Adventure
4552,Adventure
7187,Adventure
7237,Adventure
3953,Adventure
2468,Adventure
8188,Adventure
3693,Adventure
8444,Adventure
3741,Adventure
7859,Adventure
5395,Adventure
7864,Adventure
8620,Adventure
4524,Adventure
8640,Adventure
5661,Adventure
6142,Adventure
3646,Adventure
8807,Adventure
6315,Adventure
6301,Adventure
5025,Adventure
6676,Adventure
4605,Adventure
6645,Adventure
5183,Adventure
10199,Adventure
5721,Adventure
3986,Adventure
10402,Adventure
5027,Adventure
9728,Adventure
5783,Adventure
7007,Adventure
10204,Adventure
7238,Adventure
10625,Adventure
7669,Adventure
7152,Adventure
10439,Adventure
7332,Adventure
5800,Adventure
7178,Adventure
6999,Adventure
10579,Adventure
6354,Adventure
7381,Adventure
7606,Adventure
5810,Adventure
7027,Adventure
6739,Adventure
7672,Adventure
7655,Adventure
11023,Adventure
11185,Adventure
11151,Adventure
6755,Adventure
7674,Adventure
5913,Adventure
7720,Adventure
12355,Adventure
11310,Adventure
7853,Adventure
7796,Adventure
7848,Adventure
11669,Adventure
7870,Adventure
11903,Adventure
6314,Adventure
12497,Adventure
7857,Adventure
8076,Adventure
11918,Adventure
6744,Adventure
12556,Adventure
11553,Adventure
8815,Adventure
8980,Adventure
5760,Adventure
6776,Adventure
12309,Adventure
11805,Adventure
11814,Adventure
7871,Adventure
7446,Adventure
